-005.63 ,+104.419,-001.34 ,+104.579
-005.63 ,+104.416,-001.34 ,+104.579
-005.63 ,+104.416,-001.34 ,+104.577
-005.63 ,+104.416,-001.34 ,+104.577
-005.63 ,+104.416,-001.34 ,+104.577
-005.64 ,+104.412,-001.34 ,+104.577
-005.64 ,+104.412,-001.34 ,+104.577
-005.64 ,+104.412,-001.34 ,+104.573
-005.64 ,+104.412,-001.34 ,+104.573
-005.64 ,+104.412,-001.34 ,+104.573
-005.65 ,+104.412,-001.34 ,+104.573
-005.65 ,+104.409,-001.28 ,+104.573
-005.65 ,+104.409,-001.28 ,+104.569
-005.65 ,+104.409,-001.28 ,+104.569
-005.65 ,+104.409,-001.28 ,+104.569
-005.65 ,+104.409,-001.28 ,+104.569
-005.65 ,+104.407,-001.23 ,+104.569
-005.65 ,+104.407,-001.23 ,+104.567
-005.65 ,+104.407,-001.23 ,+104.567
-005.65 ,+104.407,-001.23 ,+104.567
-005.64 ,+104.407,-001.23 ,+104.567
-005.64 ,+104.408,-001.22 ,+104.567
-005.64 ,+104.408,-001.22 ,+104.567
-005.64 ,+104.408,-001.22 ,+104.567
-005.64 ,+104.408,-001.22 ,+104.567
-005.64 ,+104.408,-001.22 ,+104.567
-005.63 ,+104.407,-001.22 ,+104.567
-005.63 ,+104.407,-001.22 ,+104.567
-005.63 ,+104.407,-001.22 ,+104.566
-005.63 ,+104.407,-001.22 ,+104.566
-005.63 ,+104.407,-001.22 ,+104.566
-005.63 ,+104.407,-001.22 ,+104.566
-005.63 ,+104.404,-001.31 ,+104.566
-005.63 ,+104.404,-001.31 ,+104.563
-005.63 ,+104.404,-001.31 ,+104.563
-005.63 ,+104.404,-001.31 ,+104.563
-005.63 ,+104.400,-001.31 ,+104.563
-005.63 ,+104.400,-001.34 ,+104.563
-005.63 ,+104.400,-001.34 ,+104.561
-005.63 ,+104.400,-001.34 ,+104.561
-005.63 ,+104.400,-001.34 ,+104.561
-005.65 ,+104.397,-001.39 ,+104.559
-005.65 ,+104.395,-001.42 ,+104.559
-005.65 ,+104.395,-001.42 ,+104.557
-005.64 ,+104.393,-001.40 ,+104.555
-005.64 ,+104.393,-001.40 ,+104.555
-005.65 ,+104.392,-001.38 ,+104.553
-005.64 ,+104.391,-001.38 ,+104.553
-005.64 ,+104.391,-001.33 ,+104.551
-005.65 ,+104.390,-001.33 ,+104.551
-005.65 ,+104.390,-001.32 ,+104.551
-005.67 ,+104.390,-001.30 ,+104.551
-005.67 ,+104.390,-001.30 ,+104.552
-005.65 ,+104.392,-001.24 ,+104.553
-005.65 ,+104.392,-001.24 ,+104.553
-005.65 ,+104.397,-001.20 ,+104.556
-005.65 ,+104.397,-001.20 ,+104.556
-005.65 ,+104.403,-001.14 ,+104.556
-005.65 ,+104.403,-001.14 ,+104.561
-005.65 ,+104.409,-001.14 ,+104.568
-005.65 ,+104.409,-001.14 ,+104.568
-005.65 ,+104.416,-001.14 ,+104.575
-005.63 ,+104.421,-001.14 ,+104.575
-005.63 ,+104.421,-001.15 ,+104.579
-005.63 ,+104.425,-001.15 ,+104.579
-005.63 ,+104.425,-001.14 ,+104.583
-005.62 ,+104.426,-001.16 ,+104.583
-005.62 ,+104.426,-001.16 ,+104.584
-005.61 ,+104.426,-001.18 ,+104.583
-005.62 ,+104.426,-001.18 ,+104.583
-005.62 ,+104.424,-001.21 ,+104.582
-005.64 ,+104.419,-001.21 ,+104.582
-005.64 ,+104.419,-001.27 ,+104.579
-005.63 ,+104.415,-001.27 ,+104.579
-005.63 ,+104.415,-001.29 ,+104.575
-005.61 ,+104.411,-001.32 ,+104.575
-005.61 ,+104.411,-001.32 ,+104.570
-005.62 ,+104.411,-001.32 ,+104.570
-005.62 ,+104.407,-001.38 ,+104.568
-005.64 ,+104.404,-001.38 ,+104.568
-005.64 ,+104.404,-001.43 ,+104.565
-005.63 ,+104.404,-001.46 ,+104.566
-005.65 ,+104.405,-001.46 ,+104.566
-005.65 ,+104.405,-001.49 ,+104.568
-005.65 ,+104.405,-001.47 ,+104.568
-005.65 ,+104.405,-001.47 ,+104.568
-005.66 ,+104.404,-001.46 ,+104.568
-005.66 ,+104.404,-001.46 ,+104.568
-005.66 ,+104.402,-001.43 ,+104.566
-005.65 ,+104.402,-001.43 ,+104.566
-005.65 ,+104.402,-001.36 ,+104.564
-005.67 ,+104.403,-001.36 ,+104.564
-005.67 ,+104.403,-001.33 ,+104.565
-005.68 ,+104.407,-001.29 ,+104.565
-005.68 ,+104.407,-001.29 ,+104.569
-005.68 ,+104.413,-001.22 ,+104.569
-005.68 ,+104.413,-001.22 ,+104.574
-005.66 ,+104.422,-001.16 ,+104.582
-005.65 ,+104.422,-001.16 ,+104.582
-005.65 ,+104.434,-001.07 ,+104.593
-005.66 ,+104.447,-001.07 ,+104.593
-005.66 ,+104.447,-001.09 ,+104.606
-005.64 ,+104.457,-001.09 ,+104.606
-005.64 ,+104.457,-001.09 ,+104.614
-005.62 ,+104.463,-001.08 ,+104.614
-005.62 ,+104.463,-001.08 ,+104.620
-005.63 ,+104.466,-001.09 ,+104.623
-005.63 ,+104.466,-001.09 ,+104.623
-005.63 ,+104.465,-001.16 ,+104.623
-005.62 ,+104.461,-001.16 ,+104.623
-005.62 ,+104.461,-001.18 ,+104.619
-005.61 ,+104.455,-001.22 ,+104.619
-005.61 ,+104.455,-001.22 ,+104.613
-005.62 ,+104.447,-001.29 ,+104.613
-005.62 ,+104.447,-001.29 ,+104.606
-005.64 ,+104.442,-001.36 ,+104.602
